"dataset","nblocks","testAccuracy","bottleneck","nhidden","learningrate","blockForm","valAccuracy"
"lung-cancer",8,0.25,0.5,1024,0.01,"diavolo",1
"lung-cancer",8,0.375,0.25,512,0.01,"rect",1
"lung-cancer",8,0.625,0.25,256,0.01,"diavolo",1
"lung-cancer",8,0.5,0.5,256,0.01,"rect",1
"lung-cancer",8,0.25,0.5,256,0.01,"diavolo",1
"lung-cancer",4,0.375,0.25,1024,0.01,"diavolo",1
"lung-cancer",4,0.25,0.5,1024,0.01,"rect",1
"lung-cancer",4,0.25,0.5,1024,0.01,"diavolo",1
"lung-cancer",4,0.375,0.25,512,0.01,"rect",1
"lung-cancer",4,0.75,0.5,512,0.01,"rect",1
"lung-cancer",4,0.5,0.25,256,0.01,"rect",1
"lung-cancer",4,0.5,0.25,256,0.01,"diavolo",1
"lung-cancer",4,0.5,0.5,256,0.01,"rect",1
"lung-cancer",4,0.25,0.5,256,0.01,"diavolo",1
"lung-cancer",3,0.25,0.25,1024,0.01,"diavolo",1
"lung-cancer",3,0.5,0.5,1024,0.01,"rect",1
"lung-cancer",3,0.375,0.25,512,0.01,"rect",1
"lung-cancer",3,0.25,0.5,512,0.01,"rect",1
"lung-cancer",3,0.5,0.5,512,0.01,"diavolo",1
"lung-cancer",3,0.375,0.5,256,0.01,"rect",1
"lung-cancer",3,0.375,0.5,256,0.01,"diavolo",1
"lung-cancer",2,0.125,0.25,1024,0.01,"rect",1
"lung-cancer",2,0.625,0.25,1024,0.01,"diavolo",1
"lung-cancer",2,0.5,0.5,1024,0.01,"rect",1
"lung-cancer",2,0.5,0.5,1024,0.01,"diavolo",1
"lung-cancer",2,0.5,0.25,512,0.01,"rect",1
"lung-cancer",2,0.125,0.25,512,0.01,"diavolo",1
"lung-cancer",2,0.375,0.5,512,0.01,"rect",1
"lung-cancer",2,0.75,0.25,256,0.01,"rect",1
"lung-cancer",2,0.25,0.25,256,0.01,"diavolo",1
"lung-cancer",2,0.375,0.5,256,0.01,"diavolo",1
"lung-cancer",2,0.25,0.25,512,0.1,"diavolo",1
"lung-cancer",2,0.625,0.25,256,0.1,"diavolo",1
"lung-cancer",16,0.25,0.25,1024,0.01,"diavolo",0.9
"lung-cancer",16,0.25,0.5,512,0.01,"rect",0.9
"lung-cancer",4,0.375,0.25,1024,0.01,"rect",0.9
